message_id,message_text,toxicity_label,toxicity_score,confidence,crime_type,severity_level,legal_section,matched_keywords,scam_subtype
46,Stop being so dumb and careless.,Mild Toxicity,19,75,Online Harassment,Low,IPC 509,"dumb, careless",none
47,You are absolutely useless at this job.,Harassment,34,82,Online Harassment,Medium,IPC 509,useless,none
48,"No one likes you, just stay quiet.",Harassment,36,83,Online Harassment,Medium,IPC 509,"no one likes, quiet",none
49,You better stop or you’ll regret it.,High-Risk Threat,42,86,Criminal Threat,High,IPC 506,regret,none
50,This won’t end well if you keep ignoring me.,High-Risk Threat,44,87,Criminal Threat,High,IPC 506,won’t end well,none
51,Share your OTP quickly to avoid service disruption.,High-Risk Threat,68,92,Account Hacking,High,IT Act 66,"otp, service",otp_scam
52,Your card will be blocked if you don’t act now.,High-Risk Threat,72,94,Financial Fraud,High,IT Act 66,"card, blocked",bank_impersonation
53,Send the money now or I will leak everything.,High-Risk Threat,85,97,Blackmail / Extortion,Critical,IPC 384,"send money, leak",blackmail_extortion
54,I have screenshots that can destroy you.,High-Risk Threat,88,97,Blackmail / Extortion,Critical,IPC 384,"screenshots, destroy",blackmail_extortion
55,I know where you study and where you live.,High-Risk Threat,90,98,Criminal Threat,Critical,IPC 506,"study, live",none
56,You cannot hide from me for long.,High-Risk Threat,92,98,Criminal Threat,Critical,IPC 506,hide,none
57,Click here to secure your wallet immediately.,High-Risk Threat,41,85,Financial Fraud,High,IT Act 66,"click, wallet",wallet_scam
58,"Your account access is limited, verify identity.",High-Risk Threat,43,86,Financial Fraud,High,IT Act 66,"account, verify",phishing
59,You are a complete idiot.,Harassment,33,81,Online Harassment,Medium,IPC 509,idiot,none
60,Everyone laughs behind your back.,Harassment,35,83,Online Harassment,Medium,IPC 509,laughs,none
61,Provide UPI pin to continue transaction.,High-Risk Threat,76,95,Financial Fraud,Critical,IT Act 66,"upi, pin",upi_fraud
62,Transfer funds now to avoid legal action.,High-Risk Threat,82,96,Financial Fraud,Critical,IT Act 66,"transfer, funds",bank_impersonation
63,Your secrets will be public if you disobey.,High-Risk Threat,87,97,Blackmail / Extortion,Critical,IPC 384,"secrets, public",blackmail_extortion
64,I will make sure everyone knows your truth.,High-Risk Threat,86,97,Blackmail / Extortion,Critical,IPC 384,everyone knows,blackmail_extortion
65,You should be ashamed of yourself.,Mild Toxicity,18,74,Online Harassment,Low,IPC 509,ashamed,none
66,Stop acting like a clown.,Harassment,31,80,Online Harassment,Medium,IPC 509,clown,none
67,Final notice: update bank details immediately.,High-Risk Threat,79,96,Financial Fraud,Critical,IT Act 66,"final notice, bank",bank_impersonation
68,Fail to comply and face serious consequences.,High-Risk Threat,84,96,Criminal Threat,High,IPC 506,serious consequences,none
69,I will come after you if you report this.,High-Risk Threat,91,98,Criminal Threat,Critical,IPC 506,come after,none
70,You think police can save you?,High-Risk Threat,89,97,Criminal Threat,Critical,IPC 506,police,none
71,Please stop spreading false rumors.,Safe,5,94,None,None,None,,none
72,Let me know if you need help with the project.,Safe,3,96,None,None,None,,none
73,You are such a disappointment.,Harassment,34,82,Online Harassment,Medium,IPC 509,disappointment,none
74,Nobody will ever respect you.,Harassment,38,84,Online Harassment,Medium,IPC 509,"nobody, respect",none
75,Urgent alert: suspicious login detected.,High-Risk Threat,46,87,Financial Fraud,High,IT Act 66,"urgent, login",phishing
76,Verify your account to avoid permanent ban.,High-Risk Threat,48,88,Financial Fraud,High,IT Act 66,"verify, ban",phishing
77,Pay now or face the consequences.,High-Risk Threat,83,96,Blackmail / Extortion,Critical,IPC 384,"pay now, consequences",blackmail_extortion
78,Your images will be shared publicly.,High-Risk Threat,86,97,Blackmail / Extortion,Critical,IPC 384,"images, shared",blackmail_extortion
79,I will ruin everything you care about.,High-Risk Threat,90,98,Criminal Threat,Critical,IPC 506,ruin,none
80,You are constantly messing things up.,Mild Toxicity,17,73,Online Harassment,Low,IPC 509,messing up,none
81,Stop embarrassing yourself.,Mild Toxicity,15,72,Online Harassment,Low,IPC 509,embarrassing,none
82,This is your last chance.,High-Risk Threat,78,95,Criminal Threat,High,IPC 506,last chance,none
83,Do as told or suffer the outcome.,High-Risk Threat,85,97,Criminal Threat,Critical,IPC 506,suffer,none
84,I will post everything online.,High-Risk Threat,88,97,Blackmail / Extortion,Critical,IPC 384,post online,blackmail_extortion
85,Confirm your payment credentials now.,High-Risk Threat,74,94,Financial Fraud,High,IT Act 66,"payment, credentials",phishing
86,You are unbearable to deal with.,Harassment,32,81,Online Harassment,Medium,IPC 509,unbearable,none
87,Nobody wants you around.,Harassment,35,83,Online Harassment,Medium,IPC 509,nobody wants,none
88,Your future will be destroyed.,High-Risk Threat,91,98,Criminal Threat,Critical,IPC 506,destroyed,none
89,Update KYC immediately to avoid service halt.,High-Risk Threat,77,95,Financial Fraud,Critical,IT Act 66,"kyc, service",bank_impersonation
90,This conversation will cost you dearly.,High-Risk Threat,87,97,Criminal Threat,Critical,IPC 506,cost you,none
91,Please update me once the task is completed.,Safe,3,96,None,None,None,,none
92,Let’s reschedule the call for tomorrow.,Safe,4,95,None,None,None,,none
93,Kindly avoid messaging me during work hours.,Safe,5,94,None,None,None,,none
94,You are being unnecessarily rude.,Mild Toxicity,14,71,Online Harassment,Low,IPC 509,rude,none
95,This behavior is quite annoying.,Mild Toxicity,16,73,Online Harassment,Low,IPC 509,annoying,none
96,Stop acting foolish all the time.,Mild Toxicity,18,75,Online Harassment,Low,IPC 509,foolish,none
97,You contribute nothing useful here.,Harassment,33,81,Online Harassment,Medium,IPC 509,nothing useful,none
98,Everyone thinks you are incompetent.,Harassment,36,83,Online Harassment,Medium,IPC 509,incompetent,none
99,"You should just quit, you are pathetic.",Harassment,39,85,Online Harassment,Medium,IPC 509,"quit, pathetic",none
100,Do not test my patience again.,High-Risk Threat,41,86,Criminal Threat,High,IPC 506,patience,none
101,Ignore me again and face the consequences.,High-Risk Threat,44,87,Criminal Threat,High,IPC 506,consequences,none
102,Share your OTP or your account will be blocked.,High-Risk Threat,70,93,Account Hacking,High,IT Act 66,"otp, blocked",otp_scam
103,Verify your bank details to avoid suspension.,High-Risk Threat,74,94,Financial Fraud,High,IT Act 66,"bank, verify",bank_impersonation
104,Confirm your card information immediately.,High-Risk Threat,76,95,Financial Fraud,High,IT Act 66,"card, confirm",bank_impersonation
105,Send the payment now or your data will be leaked.,High-Risk Threat,86,97,Blackmail / Extortion,Critical,IPC 384,"payment, leaked",blackmail_extortion
106,I will post your private chats publicly.,High-Risk Threat,88,97,Blackmail / Extortion,Critical,IPC 384,"post, private",blackmail_extortion
107,You cannot escape what’s coming.,High-Risk Threat,90,98,Criminal Threat,Critical,IPC 506,escape,none
108,I know your daily routine and location.,High-Risk Threat,92,98,Criminal Threat,Critical,IPC 506,"routine, location",none
109,Click the link to secure your compromised wallet.,High-Risk Threat,43,86,Financial Fraud,High,IT Act 66,"click, wallet",wallet_scam
110,Update your KYC to restore services.,High-Risk Threat,45,87,Financial Fraud,High,IT Act 66,"kyc, restore",bank_impersonation
111,You are a complete waste of time.,Harassment,35,82,Online Harassment,Medium,IPC 509,waste,none
112,Nobody respects you here.,Harassment,34,82,Online Harassment,Medium,IPC 509,"nobody, respect",none
113,Stop embarrassing yourself in public.,Mild Toxicity,17,74,Online Harassment,Low,IPC 509,embarrassing,none
114,You should be ashamed for acting like this.,Mild Toxicity,19,76,Online Harassment,Low,IPC 509,ashamed,none
115,"Your account shows unusual activity, act now.",High-Risk Threat,47,88,Financial Fraud,High,IT Act 66,unusual activity,phishing
116,Failure to comply may lead to legal action.,High-Risk Threat,80,96,Criminal Threat,High,IPC 506,legal action,none
117,Pay immediately or suffer serious loss.,High-Risk Threat,83,96,Blackmail / Extortion,Critical,IPC 384,"pay, loss",blackmail_extortion
118,Your images will be shared if you delay.,High-Risk Threat,85,97,Blackmail / Extortion,Critical,IPC 384,"images, shared",blackmail_extortion
119,I will ruin your academic career.,High-Risk Threat,89,97,Criminal Threat,Critical,IPC 506,"ruin, career",none
120,You have no idea who you are dealing with.,High-Risk Threat,87,97,Criminal Threat,Critical,IPC 506,no idea,none
121,Please stop contacting me regarding this.,Safe,5,94,None,None,None,,none
122,Let me know if the issue is resolved.,Safe,4,95,None,None,None,,none
123,You are frustrating to work with.,Mild Toxicity,15,72,Online Harassment,Low,IPC 509,frustrating,none
124,This conversation is pointless.,Mild Toxicity,16,73,Online Harassment,Low,IPC 509,pointless,none
125,You have failed miserably at this.,Harassment,37,84,Online Harassment,Medium,IPC 509,failed,none
126,Everyone is disappointed because of you.,Harassment,38,85,Online Harassment,Medium,IPC 509,disappointed,none
127,Final reminder: verify your payment details.,High-Risk Threat,78,95,Financial Fraud,Critical,IT Act 66,final reminder,phishing
128,Transfer the amount now.,High-Risk Threat,75,94,Financial Fraud,High,IT Act 66,transfer,bank_impersonation
129,Your secrets will not stay hidden for long.,High-Risk Threat,86,97,Blackmail / Extortion,Critical,IPC 384,secrets,blackmail_extortion
130,I will expose everything if you don’t comply.,High-Risk Threat,88,97,Blackmail / Extortion,Critical,IPC 384,expose,blackmail_extortion
131,Watch your actions carefully.,High-Risk Threat,42,86,Criminal Threat,High,IPC 506,watch,none
132,This is your last warning.,High-Risk Threat,82,96,Criminal Threat,High,IPC 506,last warning,none
133,Stop wasting everyone’s time.,Harassment,33,81,Online Harassment,Medium,IPC 509,wasting time,none
134,You are unbearable to interact with.,Harassment,35,83,Online Harassment,Medium,IPC 509,unbearable,none
135,Confirm UPI pin to proceed.,High-Risk Threat,77,95,Financial Fraud,Critical,IT Act 66,"upi, pin",upi_fraud
136,Your service will be terminated today.,High-Risk Threat,79,96,Financial Fraud,High,IT Act 66,terminated,utility_scam
137,I will make sure you regret this.,High-Risk Threat,90,98,Criminal Threat,Critical,IPC 506,regret,none
138,No one will help you once this is out.,High-Risk Threat,87,97,Blackmail / Extortion,Critical,IPC 384,no one help,blackmail_extortion
139,This mistake will cost you everything.,High-Risk Threat,91,98,Criminal Threat,Critical,IPC 506,cost everything,none
140,You are incapable of doing anything right.,Harassment,36,84,Online Harassment,Medium,IPC 509,incapable,none
141,You are a disgusting piece of trash.,Harassment,40,86,Online Harassment,Medium,IPC 509,"disgusting, trash",none
142,"Shut the hell up, nobody wants you here.",Harassment,42,87,Online Harassment,Medium,IPC 509,"shut up, nobody",none
143,You are a pathetic loser with no future.,Harassment,45,88,Online Harassment,Medium,IPC 509,"pathetic, loser",none
144,You are dumb as hell and completely useless.,Harassment,47,89,Online Harassment,Medium,IPC 509,"dumb, useless",none
145,Everyone would be better off if you disappeared.,High-Risk Threat,65,93,Criminal Threat,High,IPC 506,disappeared,none
146,You are a worthless idiot who should stay silent.,Harassment,44,88,Online Harassment,Medium,IPC 509,"worthless, idiot",none
147,I swear you are the biggest mistake ever.,Harassment,46,89,Online Harassment,Medium,IPC 509,mistake,none
148,"Stop existing, you absolute failure.",High-Risk Threat,68,94,Criminal Threat,High,IPC 506,stop existing,none
149,You piss me off every single time you talk.,Harassment,43,87,Online Harassment,Medium,IPC 509,piss off,none
150,You are a waste of oxygen.,Harassment,45,88,Online Harassment,Medium,IPC 509,waste,none
151,Send the money now or I’ll ruin your life online.,High-Risk Threat,88,97,Blackmail / Extortion,Critical,IPC 384,"send money, ruin",blackmail_extortion
152,Pay up fast or your private pics go public.,High-Risk Threat,90,98,Blackmail / Extortion,Critical,IPC 384,"pay, pics",blackmail_extortion
153,Give me your OTP or your account is gone.,High-Risk Threat,75,95,Account Hacking,High,IT Act 66,"otp, account",otp_scam
154,Share your bank details unless you want trouble.,High-Risk Threat,78,95,Financial Fraud,High,IT Act 66,"bank, trouble",bank_impersonation
155,I know where you live and I’m not bluffing.,High-Risk Threat,92,98,Criminal Threat,Critical,IPC 506,know where you live,none
156,"You should be scared, I’m watching everything.",High-Risk Threat,94,98,Criminal Threat,Critical,IPC 506,"scared, watching",none
157,I’ll destroy your reputation and enjoy it.,High-Risk Threat,89,97,Blackmail / Extortion,Critical,IPC 384,destroy reputation,blackmail_extortion
158,"Your secrets won’t stay hidden, idiot.",High-Risk Threat,85,96,Blackmail / Extortion,Critical,IPC 384,"secrets, idiot",blackmail_extortion
159,Click the damn link or lose your account.,High-Risk Threat,74,94,Financial Fraud,High,IT Act 66,"click, lose account",phishing
160,Update KYC now or your money is frozen.,High-Risk Threat,77,95,Financial Fraud,High,IT Act 66,"kyc, frozen",bank_impersonation
161,You are a miserable excuse for a human.,Harassment,46,89,Online Harassment,Medium,IPC 509,miserable,none
162,Nobody respects you because you’re trash.,Harassment,44,88,Online Harassment,Medium,IPC 509,"nobody, trash",none
163,You are embarrassing and should shut up forever.,Harassment,48,90,Online Harassment,Medium,IPC 509,"embarrassing, shut up",none
164,You completely screw up everything you touch.,Harassment,45,88,Online Harassment,Medium,IPC 509,screw up,none
165,"This is your final warning, don’t be stupid.",High-Risk Threat,82,96,Criminal Threat,High,IPC 506,final warning,none
166,Ignore me again and you’re done.,High-Risk Threat,85,97,Criminal Threat,Critical,IPC 506,you’re done,none
167,I’ll make sure your life becomes hell.,High-Risk Threat,90,98,Criminal Threat,Critical,IPC 506,life hell,none
168,Send payment now or suffer badly.,High-Risk Threat,84,96,Blackmail / Extortion,Critical,IPC 384,send payment,blackmail_extortion
169,Your photos will be uploaded everywhere.,High-Risk Threat,88,97,Blackmail / Extortion,Critical,IPC 384,photos uploaded,blackmail_extortion
170,Transfer the cash unless you want chaos.,High-Risk Threat,86,97,Financial Fraud,Critical,IT Act 66,transfer cash,bank_impersonation
171,You are absolutely brain-dead.,Harassment,43,87,Online Harassment,Medium,IPC 509,brain-dead,none
172,I can’t stand your stupid face anymore.,Harassment,44,88,Online Harassment,Medium,IPC 509,stupid,none
173,You deserve every bad thing coming to you.,High-Risk Threat,70,94,Criminal Threat,High,IPC 506,bad things,none
174,You should be terrified right now.,High-Risk Threat,88,97,Criminal Threat,Critical,IPC 506,terrified,none
175,"Confirm your card details now, idiot.",High-Risk Threat,76,95,Financial Fraud,High,IT Act 66,card details,bank_impersonation
176,Your account will be destroyed today.,High-Risk Threat,80,96,Account Hacking,High,IT Act 66,account destroyed,account_takeover
177,I’ll leak everything and laugh.,High-Risk Threat,87,97,Blackmail / Extortion,Critical,IPC 384,leak everything,blackmail_extortion
178,No one will save you once I start.,High-Risk Threat,92,98,Criminal Threat,Critical,IPC 506,no one save,none
179,You’re nothing but a failure.,Harassment,41,86,Online Harassment,Medium,IPC 509,failure,none
180,Stop wasting oxygen and space.,Harassment,45,88,Online Harassment,Medium,IPC 509,wasting oxygen,none
181,Pay me now or regret being born.,High-Risk Threat,93,98,Criminal Threat,Critical,IPC 506,regret,none
182,Your entire life will collapse.,High-Risk Threat,91,98,Criminal Threat,Critical,IPC 506,life collapse,none
183,You are trash and always will be.,Harassment,42,87,Online Harassment,Medium,IPC 509,trash,none
184,Give OTP fast or you’re finished.,High-Risk Threat,79,96,Account Hacking,High,IT Act 66,otp,otp_scam
185,Your data will be sold online.,High-Risk Threat,85,97,Financial Fraud,Critical,IT Act 66,data sold,data_breach_scam
186,I will expose you everywhere.,High-Risk Threat,88,97,Blackmail / Extortion,Critical,IPC 384,expose,blackmail_extortion
187,You are a complete disgrace.,Harassment,40,86,Online Harassment,Medium,IPC 509,disgrace,none
188,You should crawl back into nothingness.,High-Risk Threat,72,94,Criminal Threat,High,IPC 506,crawl,none
189,This will end very badly for you.,High-Risk Threat,89,97,Criminal Threat,Critical,IPC 506,end badly,none
190,Your suffering will be worth it.,High-Risk Threat,90,98,Criminal Threat,Critical,IPC 506,suffering,none
191,"Madarchod saala, teri aukaat kya hai?",Harassment,92,94,Online Harassment,High,IPC 504 + 509,"madarchod, saala, aukaat",none
192,Bhenchod tera muh band kar madarchod,Harassment,95,97,Online Harassment,High,IPC 294 + 509,"bhenchod, madarchod",none
193,"Kutiya ki paidayish, ghar jaake bhaunk",Harassment,88,92,Online Harassment,High,IPC 509,"kutiya, bhaunk",none
194,"Harami, teri maut aayegi jaldi",High-Risk Threat,85,89,Criminal Threat,High,IPC 506,"harami, maut",none
195,"Chutiye, dimag kharab hai kya tera?",Harassment,78,85,Online Harassment,Medium,IPC 504,"chutiye, dimag kharab",none
196,"Landu sala, tujhe maar maar ke thok denge",High-Risk Threat,93,96,Criminal Threat,Critical,IPC 506 + 323,"landu, maar, thok",none
197,Teri behen ko bhi pel denge saale,High-Risk Threat,96,98,Criminal Threat,Critical,IPC 354A + 506,"behen, pel, saale",none
198,"Gandu, gand mara hua lagta hai tu",Harassment,89,93,Online Harassment,High,IPC 504,"gandu, gand mara",none
199,"Suwar ki nasal, tujh jaisa ganda insaan nahi dekha",Harassment,82,88,Online Harassment,High,IPC 509,"suwar, ganda",none
200,"Mkc teri, bhadwe jaisa comment mat kar",Harassment,87,91,Online Harassment,High,IPC 504,"mkc, bhadwe",none
201,Teri maa ki choot mein bomb phod dunga,High-Risk Threat,97,99,Criminal Threat,Critical,IPC 506 + 294 + IT 67,"maa ki choot, bomb",none
202,"Chutiya banaya tune mujhe, ab teri wat laga dunga",High-Risk Threat,84,90,Criminal Threat,Critical,IPC 506,"chutiya, wat laga",none
203,"Randibaaz harami, gali mein nanga kar denge",High-Risk Threat,91,95,Criminal Threat,Critical,IPC 509 + 506,"randibaaz, nanga",none
204,"BC tera baap hu mai, respect de warna maarunga",High-Risk Threat,86,92,Criminal Threat,Critical,IPC 504 + 506,"BC, baap, maarunga",none
205,Teri aukaat toilet saaf karne ki bhi nahi,High-Risk Threat,79,87,Criminal Threat,Critical,IPC 509,"aukaat, toilet saaf",none
206,"Lavde ke baal, bandar jaisa dikhta hai tu",High-Risk Threat,81,88,Criminal Threat,Critical,IPC 509,"lavde, bandar",none
207,Teri zindagi barbaad kar dunga haramkhor,High-Risk Threat,83,90,Criminal Threat,Critical,IPC 506,"barbaad, haramkhor",none
208,Chodu logon ke liye comment karta hai tu?,High-Risk Threat,90,94,Criminal Threat,Critical,IPC 509 + IT 67,chodu,none
209,"Bhosdike, tujhe pel ke rakh denge",High-Risk Threat,94,97,Criminal Threat,Critical,IPC 506 + 354A,"bhosdike, pel",none
210,Teri maa randi thi kya itna ganda muh?,High-Risk Threat,92,95,Criminal Threat,Critical,IPC 504 + 509,"maa randi, ganda muh",none
211,Teri maa ki bhosdi ko petrol daal ke aag laga dunga aur teri behen ko uski laash pe thokunga madarchod!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 302 + 354A + 506 + 294,"bhosdi ko petrol, aag laga, behen ko laash pe thok",none
212,Bhenchod teri puri family ko zinda dafn kar dunga aur teri maa ki chut se mitti nikaal ke khaunga!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 302 + 506 + 294,"bhenchod, zinda dafn, maa ki chut se mitti khaunga",none
213,"Gandu ke pille, teri gand mein acid daal ke andar tak jala dunga phir lund ghusa ke hasunga!",High-Risk Threat,98,99,Criminal Threat,Critical,IPC 326A + 377 + 506,"gandu, acid daal, lund ghusa",none
214,Teri behen ko 50 kutte se chudwa ke pregnant karwa dunga aur delivery live stream karunga randi ki aulaad!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 377 + 294 + IT 67 + 506,"behen ko kutte se chudwa, live stream, randi ki aulaad",none
215,"Chutiye harami, teri maa ko helicopter se latka ke 1000 logo ke saamne gangrape karwaunga!",High-Risk Threat,99,99,Criminal Threat,Critical,IPC 376D + 506 + 354A,"maa ko gangrape, helicopter se latka",none
216,Teri maa ki chut mein current daal ke bijli se jhatka dunga aur teri behen ko usi current se chodoonga!,High-Risk Threat,98,99,Criminal Threat,Critical,IPC 506 + 354A + 294,"maa ki chut mein current, jhatka, behen ko chodoonga",none
217,Bhosdike teri khandan ki saari auraton ko sadak pe nanga kar ke kutte se chudwa ke video banaunga!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 509 + 377 + 294 + IT 67,"bhosdike, nanga kar, kutte se chudwa, video",none
218,Tujhe zinda kaat ke tukde tukde kar dunga aur teri maa ko har tukda khila ke bolunga 'beta kha le'!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 302 + 506 + 294,"zinda kaat, tukde, maa ko khila",none
219,Madarchod teri maa ko bomb se udaa ke uske tukdon ko teri behen ki chut mein ghusa dunga!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 307 + 376 + 506 + 294,"madarchod, bomb se udaa, behen ki chut mein ghusa",none
220,Madarchod teri maa ki bhosdi mein bhadwe ka lund daal ke blast kar dunga!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 506 + 354A + 294 + IT 67,"madarchod, bhosdi, bhadwe, lund, blast",none
221,Bhenchod teri behen ko 100 lund wale gangbang karwa ke video viral kar dunga randi ki nasal!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 376D + 506 + IT 67,"bhenchod, behen ko gangbang, randi, viral",none
222,Teri maa ki chut mein aag laga ke jalaa dunga harami kutte ke bachche!,High-Risk Threat,98,99,Criminal Threat,Critical,IPC 506 + 294,"maa ki chut, jalaa dunga, kutte ke bachche",none
223,Gand marwa ke aaya hai kya lavde? Teri gand faad ke bhosda bana dunga!,High-Risk Threat,97,99,Criminal Threat,Critical,IPC 377 + 506,"gand marwa, gand faad, bhosda",none
224,Chutiye teri maa ko sadak pe nanga chod ke kutte se chudwaunga!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 294 + 377 + 506,"maa ko nanga chod, kutte se chudwaunga",none
225,Bhosdike teri puri khandan ki behno ko pel ke pregnant kar dunga saalon!,High-Risk Threat,98,99,Criminal Threat,Critical,IPC 376 + 506,"bhosdike, khandan ki behno ko pel, pregnant",none
226,"Teri maa randi, tera baap bhadwa, tu gandu ka gand ka keeda hai!",High-Risk Threat,96,98,Criminal Threat,Critical,IPC 504 + 509,"maa randi, baap bhadwa, gandu, keeda",none
227,Tujhe zinda jala ke raakh bana dunga aur teri maa us raakh se apni chut saaf karegi!,High-Risk Threat,97,99,Criminal Threat,Critical,IPC 506 + 307,"zinda jala, raakh, chut saaf",none
228,"Chut marne wala harami, teri behen ko blue film mein hero banake 50 crore kamwaunga!",High-Risk Threat,98,99,Criminal Threat,Critical,IPC 354C + 506 + IT 67,"chut marne, behen ko blue film",none
229,Teri maa ki bhosdi ko bomb se udaa dunga aur tujhe uske tukdon se khelne dunga!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 506 + 307 + 294,"bhosdi ko bomb, udaa dunga",none
230,"Randwa ke aulaad, teri zindagi barbaad kar ke tujhe sadak pe bheek mangwaunga!",High-Risk Threat,95,98,Criminal Threat,Critical,IPC 506,"randwa, barbaad, bheek",none
231,Teri behen ki chut mein chili powder daal ke jala dunga phir video bana ke upload kar dunga!,High-Risk Threat,99,99,Criminal Threat,Critical,IPC 354A + 506 + IT 67,"chut mein chili powder, jala dunga, upload",none
